restaurant_name,delivery_zone,total_orders,high_risk_orders,avg_order_value,avg_delivery_time,high_risk_rate,alert,generated_at
Burger Hub,Central,10,8,1196.3,67.3,0.8,Burger Hub Central has a high cancel-risk rate of 80%. Review restaurant prep times to reduce order cancellations by aligning expected prep with the 67-minute average delivery time.,2026-06-20
Burger Hub,West,4,3,884.5,75.0,0.75,Burger Hub West has a high cancel-risk rate of 75%. Review restaurant prep times.,2026-06-20
Wrap & Roll,Central,4,3,818.25,53.5,0.75,Wrap & Roll Central has a 75% high cancel-risk rate with an average order value of $818 and an average delivery time of 54 minutes. Audit kitchen capacity to eliminate delays that drive cancellations.,2026-06-20
Spice Garden,South,8,5,757.375,48.0,0.625,Spice Garden South has a high cancel-risk rate of 62% with an average order value of $757 and an average delivery time of 48 minutes. Audit kitchen capacity immediately to eliminate prep bottlenecks that trigger cancellations.,2026-06-20
Wrap & Roll,West,5,3,595.4,63.6,0.6,Wrap & Roll West has a high cancel-risk rate of 60% with an average order value of $595 and average delivery time of 64 minutes. Adjust dispatch routing to reduce cancellations in the West zone.,2026-06-20
Spice Garden,West,7,4,1093.7142857142858,58.0,0.5714285714285714,"Spice Garden West has a high cancel-risk rate of 57%, with average order value of $1094 and an average delivery time of 58 minutes. Review restaurant prep times to reduce order cancellations.",2026-06-20
Pizza Palace,Central,2,1,1258.0,60.0,0.5,Pizza Palace Central has a high cancel-risk rate of 50% with an average order value of $1258 and an average delivery time of 60 minutes. Review restaurant prep times to reduce cancellations by ensuring orders reach dispatch faster.,2026-06-20
Spice Garden,Central,4,2,861.0,41.25,0.5,Spice Garden Central has a high cancel-risk rate of 50% alongside an average order value of $861 and an average delivery time of 41 minutes. Review restaurant prep times to reduce order dwell time and cut cancellations.,2026-06-20
Sushi Bay,Central,9,4,770.8888888888889,40.44444444444444,0.4444444444444444,Sushi Bay Central has a high cancel-risk rate of 44% with an average order value of $771 and an average delivery time of 40 minutes. Audit kitchen capacity to eliminate order-ready delays that drive cancellations.,2026-06-20
Burger Hub,North,5,2,709.8,50.2,0.4,Burger Hub North has a high cancel-risk rate of 40% with an average order value of $710 and an average delivery time of 50 minutes. Review restaurant prep times to cut delays that drive cancellations.,2026-06-20
Sushi Bay,North,6,2,986.6666666666666,55.166666666666664,0.3333333333333333,Sushi Bay North has a high cancel-risk rate of 33% with average order value $987 and average delivery time 55 minutes. Review restaurant prep times to reduce delays that drive cancellations.,2026-06-20
Spice Garden,North,6,2,1217.5,56.833333333333336,0.3333333333333333,Spice Garden North has a high cancel-risk rate of 33% with an average order value of $1218 and an average delivery time of 57 minutes. Audit kitchen capacity to eliminate preparation bottlenecks that drive cancellations.,2026-06-20
Wrap & Roll,North,9,3,615.4444444444445,56.94444444444444,0.3333333333333333,Wrap & Roll North has a 33% high cancel-risk rate with an average order value of $615 and an average delivery time of 57 minutes. Review restaurant prep times.,2026-06-20
