order_id,order_date,restaurant_name,delivery_zone,order_value,delivery_time_mins,rider_rating,order_status,payment_method,discount_applied,customer_complaints,restaurant_enc,zone_enc,cancel_probability,cancel_risk,is_high_risk,high_risk_rate,alert,generated_at
ORD00001,2024-09-25,Pizza Palace,North,1705.0,54.5,3.0,Delayed,Cash,12.0,0,1,1,0.25,low,0,0.0,,2026-06-20
ORD00002,2024-03-11,Pizza Palace,East,807.0,53.5,4.2,Cancelled,Card,12.0,3,1,0,0.15,low,0,0.0,,2026-06-20
ORD00003,2024-12-11,Spice Garden,South,466.0,46.0,3.6,Delayed,Card,1.0,3,2,4,0.55,high,1,0.625,Spice Garden South has a high cancel-risk rate of 62% with an average order value of $757 and an average delivery time of 48 minutes. Audit kitchen capacity immediately to eliminate prep bottlenecks that trigger cancellations.,2026-06-20
ORD00004,2024-07-10,Wrap & Roll,East,675.0,53.5,3.6,Delivered,UPI,3.0,0,4,0,0.31,low,0,0.0,,2026-06-20
ORD00005,2024-03-15,Wrap & Roll,North,349.0,54.5,2.0,Refunded,Cash,20.0,0,4,1,0.39,low,0,0.3333333333333333,Wrap & Roll North has a 33% high cancel-risk rate with an average order value of $615 and an average delivery time of 57 minutes. Review restaurant prep times.,2026-06-20
ORD00006,2024-08-28,Pizza Palace,West,814.0,57.0,2.0,Delivered,Wallet,24.0,2,1,2,0.13,low,0,0.0,,2026-06-20
ORD00007,2024-05-09,Pizza Palace,East,423.0,53.0,,Cancelled,Cash,2.0,0,1,0,0.85,high,1,0.0,,2026-06-20
ORD00008,2024-12-04,Burger Hub,North,134.0,80.0,,Cancelled,Card,1.0,2,3,1,0.67,high,1,0.4,Burger Hub North has a high cancel-risk rate of 40% with an average order value of $710 and an average delivery time of 50 minutes. Review restaurant prep times to cut delays that drive cancellations.,2026-06-20
ORD00009,2024-11-10,Sushi Bay,East,1559.0,54.0,,Delivered,Card,25.0,2,0,0,0.12,low,0,0.0,,2026-06-20
ORD00010,2024-09-24,Sushi Bay,West,733.0,25.0,,Delivered,Cash,8.0,1,0,2,0.02,low,0,0.0,,2026-06-20
ORD00011,2024-08-20,Pizza Palace,West,1157.0,75.0,,Refunded,Wallet,25.0,1,1,2,0.46,low,0,0.0,,2026-06-20
ORD00012,2024-03-14,Spice Garden,East,806.0,66.0,,Delivered,UPI,19.0,3,2,0,0.12,low,0,0.0,,2026-06-20
