order_id,order_date,restaurant_name,delivery_zone,order_value,delivery_time_mins,rider_rating,order_status,payment_method,discount_applied,customer_complaints
ORD00001,2024-09-25,Pizza Palace,North,1705.00,,3.00,Delayed,Cash,12.00,0
ORD00002,2024-03-11,Pizza Palace,East,807.00,,4.20,Cancelled,Card,12.00,3
ORD00003,2024-12-11,Spice Garden,South,466.00,,3.60,Delayed,Card,1.00,3
ORD00004,2024-07-10,Wrap & Roll,East,675.00,,3.60,Delivered,UPI,3.00,0
ORD00005,2024-03-15,Wrap & Roll,North,349.00,,2.00,Refunded,Cash,20.00,0
ORD00006,2024-08-28,Pizza Palace,West,814.00,,2.00,Delivered,Wallet,24.00,2
ORD00007,2024-05-09,Pizza Palace,East,423.00,53,,Cancelled,Cash,2.00,0
ORD00008,2024-12-04,Burger Hub,North,134.00,80,,Cancelled,Card,1.00,2
ORD00009,2024-11-10,Sushi Bay,East,1559.00,54,,Delivered,Card,25.00,2
ORD00010,2024-09-24,Sushi Bay,West,733.00,25,,Delivered,Cash,8.00,1
ORD00011,2024-08-20,Pizza Palace,West,1157.00,75,,Refunded,Wallet,25.00,1
ORD00012,2024-03-14,Spice Garden,East,806.00,66,,Delivered,UPI,19.00,3
ORD00013,2024-10-28,Spice Garden,Central,153.00,19,2.10,Refunded,UPI,29.00,1
ORD00014,2024-07-11,Spice Garden,North,1349.00,59,3.70,Cancelled,Card,3.00,2
ORD00015,2024-12-21,Pizza Palace,North,535.00,55,3.90,Delivered,Cash,22.00,3
ORD00016,2024-07-14,Spice Garden,North,1322.00,65,3.90,Delayed,Wallet,2.00,0
ORD00017,2024-04-28,Burger Hub,North,1745.00,36,3.90,Cancelled,Card,15.00,2
ORD00018,2024-12-07,Wrap & Roll,North,190.00,17,3.40,Delayed,Cash,26.00,3
ORD00019,2024-01-19,Burger Hub,South,1321.00,47,4.10,Refunded,UPI,21.00,2
ORD00020,2024-03-05,Sushi Bay,South,984.00,41,2.90,Delivered,Cash,29.00,0
ORD00021,2024-05-16,Pizza Palace,East,247.00,89,2.90,Cancelled,UPI,13.00,0
ORD00022,2024-07-01,Wrap & Roll,West,309.00,56,2.90,Delivered,Wallet,13.00,3
ORD00023,2024-01-12,Spice Garden,West,1362.00,20,3.80,Cancelled,UPI,21.00,2
ORD00024,2024-04-02,Pizza Palace,East,1644.00,81,3.30,Delivered,Card,5.00,2
ORD00025,2024-09-08,Spice Garden,West,1379.00,62,3.50,Cancelled,Cash,29.00,1
ORD00026,2024-02-07,Wrap & Roll,Central,1226.00,56,3.30,Cancelled,Card,16.00,1
ORD00027,2024-10-11,Sushi Bay,West,609.00,58,2.20,Refunded,Card,27.00,0
ORD00028,2024-08-05,Pizza Palace,South,1172.00,47,2.20,Delayed,Cash,20.00,1
ORD00029,2024-12-02,Burger Hub,Central,948.00,80,2.20,Refunded,UPI,11.00,1
ORD00030,2024-10-13,Wrap & Roll,East,1017.00,73,2.80,Refunded,Wallet,28.00,0
ORD00031,2024-04-01,Spice Garden,East,1428.00,40,2.30,Cancelled,UPI,25.00,0
ORD00032,2024-12-15,Spice Garden,West,1207.00,90,2.70,Cancelled,Wallet,5.00,0
ORD00033,2024-10-27,Spice Garden,West,403.00,85,2.80,Delivered,Card,23.00,1
ORD00034,2024-05-05,Burger Hub,West,1402.00,81,4.70,Delivered,Wallet,0.00,3
ORD00035,2024-09-10,Spice Garden,East,522.00,39,4.70,Delayed,Card,14.00,0
ORD00036,2024-12-17,Pizza Palace,East,370.00,29,2.10,Delivered,Cash,16.00,1
ORD00037,2024-11-13,Wrap & Roll,West,356.00,72,2.50,Delayed,UPI,16.00,1
